Time	IMU_Yaw_Data
13527	-8.63392863274601
13528	-9.02594783932818
13529	-9.48704848536254
13530	-10.014909876256
13531	-10.6039604292558
13532	-11.247539117974
13533	-11.9350095187299
13534	-12.6539010111503
13535	-13.3865206903185
13536	-14.1122361776957
13537	-14.817173104726
13538	-15.4843878451103
13539	-16.1019883104855
13540	-16.674009380405
13541	-17.2074558863748
13542	-17.7037400784078
13543	-18.1649626456359
13544	-18.5953389658431
13545	-18.9986766682385
13546	-19.3788092229387
13547	-19.7429944248383
13548	-20.0961608778532
13549	-20.4182122713205
13550	-20.6850623052833
13551	-20.8935976179701
13552	-21.0480896428971
13553	-21.1538258131243
13554	-21.2300221961505
13555	-21.2971724498546
13556	-21.3631427500818
13557	-21.4335473291661
13558	-21.5134504243428
13559	-21.6065851344131
13560	-21.7129317383588
13561	-21.8266854136459
13562	-21.9407814942775
13563	-22.0480896471085
13564	-22.142221169136
13565	-22.2182152532349
13566	-22.2712187080701
13567	-22.2975398105144
13568	-22.2908505689343
13569	-22.2471459247454
13570	-22.1668631733789
13571	-22.0521813994658
13572	-21.9115514081098
13573	-21.7538088754432
13574	-21.5822102678378
13575	-21.3999025805811
13576	-21.2123693946093
13577	-21.0238300266394
13578	-20.8348270095547
13579	-20.6434376420682
13580	-20.4483366713612
13581	-20.2519285899604
13582	-20.0547654943689
13583	-19.8549870496296
13584	-19.6509786173328
13585	-19.4418465153615
13586	-19.2285853191148
13587	-19.0103691275238
13588	-18.7868990136607
13589	-18.5584489211129
13590	-18.3243465476037
13591	-18.0841727762304
13592	-17.837358397903
13593	-17.584536212397
13594	-17.3192732863927
13595	-17.0349353225648
13596	-16.7410226508183
13597	-16.4353727001465
13598	-16.1238080274183
13599	-15.8177988585792
13600	-15.5177475584117
13601	-15.2380510695843
13602	-14.9927924068882
13603	-14.7826828582157
13604	-14.587190247536
13605	-14.3886846464429
13606	-14.181433301946
13607	-13.9699044881787
13608	-13.7606778704779
13609	-13.5444079899362
13610	-13.3174171322879
13611	-13.0825076367111
13612	-12.8494676920478
13613	-12.6288155764197
13614	-12.4179432819998
13615	-12.2099214612267
13616	-12.0033362526891
13617	-11.7957743472057
13618	-11.585516035855
13619	-11.3782626018661
13620	-11.1775888708642
13621	-10.9787432428708
13622	-10.7830123396759
13623	-10.5996775841759
13624	-10.4365318851181
13625	-10.2954517645336
13626	-10.1654433246357
13627	-10.0385967123007
13628	-9.91211729151988
13629	-9.78325462698871
13630	-9.65195529965922
13631	-9.5195356752333
13632	-9.38726811728233
13633	-9.2567052316034
13634	-9.13071917235937
13635	-9.01382972130077
13636	-8.90752038827355
13637	-8.80471649268096
13638	-8.70715238758649
13639	-8.6226677136844
13640	-8.56339018814254
13641	-8.53967387466512
13642	-8.53827935514984
13643	-8.54316137278661
13644	-8.55315032440068
13645	-8.57904473279105
13646	-8.62913579209191
13647	-8.69849280932422
13648	-8.77074705357186
13649	-8.83636243582067
13650	-8.88880142326165
13651	-8.92199678862093
13652	-8.93663830992087
13653	-8.93247754567976
13654	-8.91509523082512
13655	-8.89369746367773
13656	-8.86217443609157
13657	-8.80394531718546
13658	-8.71394763777719
13659	-8.5937388422706
13660	-8.44896061156509
13661	-8.28862333974073
13662	-8.11921996690786
13663	-7.93905790599955
13664	-7.74623341689624
13665	-7.54341259600844
13666	-7.33482919998458
13667	-7.13574294774892
13668	-6.95874701256984
13669	-6.80131727050639
13670	-6.6586339409296
13671	-6.53303728088594
13672	-6.42429224829334
13673	-6.33266012327815
13674	-6.26119272935358
13675	-6.2048004455659
13676	-6.16524748842114
13677	-6.14403481366252
13678	-6.1380788217699
13679	-6.15353929206798
13680	-6.19366957091255
13681	-6.25592557626008
13682	-6.33242207320761
13683	-6.41634212500061
13684	-6.50277527369902
13685	-6.57768062103394
13686	-6.63451375623942
13687	-6.67624698033134
13688	-6.70931968832248
13689	-6.745045078376
13690	-6.7810881734041
13691	-6.80670548372694
13692	-6.81124579991346
13693	-6.78479590493643
13694	-6.71969194334036
13695	-6.61741375244901
13696	-6.48734716951302
13697	-6.34213588873155
13698	-6.19412413563191
13699	-6.05639703341228
13700	-5.94307628062283
13701	-5.86409981200653
13702	-5.82777353458621
13703	-5.82673195072396
13704	-5.84514006559118
13705	-5.88011962518211
13706	-5.94374772829828
13707	-6.04107560733498
13708	-6.16223584906818
13709	-6.31552149552652
13710	-6.51245521372704
13711	-6.74588188248946
13712	-7.00646152246017
13713	-7.27362328650821
13714	-7.53270447345145
13715	-7.77451863865698
13716	-7.98307646815126
13717	-8.14902838309244
13718	-8.26525267751716
13719	-8.33152620966492
13720	-8.35216679239829
13721	-8.33057142076616
13722	-8.27377162673053
13723	-8.19961224534066
13724	-8.12848101901557
13725	-8.06449795578961
13726	-8.01439984418947
13727	-7.99228871353303
13728	-7.99610662909563
13729	-8.01015634144391
13730	-8.03463159358721
13731	-8.07479465057
13732	-8.13068395866388
13733	-8.20033917307838
13734	-8.28590255600172
13735	-8.38099090854717
13736	-8.46935040303231
13737	-8.55631174912124
13738	-8.65310430961646
13739	-8.75600615389482
13740	-8.86037853476653
13741	-8.96611368280128
13742	-9.06775421510607
13743	-9.15937450308223
13744	-9.23915330947303
13745	-9.30828175029383
13746	-9.36694018424963
13747	-9.41380994335934
13748	-9.4488864020563
13749	-9.47353992478958
13750	-9.48829300362943
13751	-9.49552502961133
13752	-9.49876733338041
13753	-9.50102480650504
13754	-9.50742573572931
13755	-9.52424253025529
13756	-9.5561047326554
13757	-9.61162220622384
13758	-9.70073548267284
13759	-9.82802682867787
13760	-9.99401776899606
13761	-10.1997688288296
13762	-10.4468570337506
13763	-10.7299417189914
13764	-11.0431759847364
13765	-11.382970260541
13766	-11.744509952217
13767	-12.1213201441268
13768	-12.5073143300041
13769	-12.8989925818148
13770	-13.2899071322114
13771	-13.6745637644612
13772	-14.0479903986651
13773	-14.4065998039722
13774	-14.7485935944071
13775	-15.0716583788773
13776	-15.3763442846257
13777	-15.6632620540019
13778	-15.9323947887073
13779	-16.1858391092666
13780	-16.4263522978129
13781	-16.6553916600253
13782	-16.8738385983147
13783	-17.0802697454064
13784	-17.2742969436285
13785	-17.457595122267
13786	-17.630732457276
13787	-17.7945369278875
13788	-17.9497738403247
13789	-18.0962305375652
13790	-18.2344430798564
13791	-18.3663985053411
13792	-18.4925018558527
13793	-18.6114530694834
13794	-18.7212697717157
13795	-18.8206386240049
13796	-18.9080515951168
13797	-18.9782973631382
13798	-19.0266876831246
13799	-19.04758269738
13800	-19.0286854017701
13801	-18.9545595470691
13802	-18.8162055773807
13803	-18.6076290474585
13804	-18.3236695455188
13805	-17.9616654569156
13806	-17.5200083670073
13807	-16.9973555246627
13808	-16.3968312921831
13809	-15.7264462002803
13810	-14.9918610366142
13811	-14.2013988467022
13812	-13.3688431498672
13813	-12.508679590056
13814	-11.6332594518381
13815	-10.7536863196267
13816	-9.88363190745506
13817	-9.03897274147079
13818	-8.23026243936002
13819	-7.46327603980498
13820	-6.74437200559666
13821	-6.07558977208358
13822	-5.45620740517096
13823	-4.88614390172359
13824	-4.36147150501546
13825	-3.87720502545389
13826	-3.43243662172963
13827	-3.02564110581536
13828	-2.65040871704905
13829	-2.30233887913316
13830	-1.9800278688578
13831	-1.68156064279543
13832	-1.40471356253777
